FileName,SIZE,DIM,LID,Sum_K_MinDist,Sum_K_MaxDist,Sum_K_StdDist,q_SIZE,q_K_MinRatio,q_K_MaxRatio,q_K_MeanRatio,q_K_StdRatio,index_type,M,efConstruction,ef,nlist,nprobe,m,nbits,reorder_k,dataCoord*segment*maxSize,queryCoord*autoHandoff,queryCoord*autoBalance,common*gracefulTime,dataNode*segment*insertBufSize,rootCoord*minSegmentSizeToEnableIndex,dataCoord*segment*sealProportion,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts,average_construct_dc_counts,average_search_dc_counts,whole_search_time
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,HNSW,32,256,500,128,8,16,8,500,512,True,True,5000,16777216,1024,23,0.0,0,0.96648,0.0408814385998994,2590537,408814385,26,40882,408.814385998994
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_SQ8,59,121,183,4660,4,128,2,786,6887,True,False,86050,4921772892,1808,73,0.0,0,0.8902599999999998,0.0126842794474214,117889,126842794,2,12685,126.842794474214
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_SQ8,61,371,592,2413,77,2,3,848,9879,False,False,31753,4583170052,538,86,0.0,0,0.9815,0.0179007905535399,1175108,179007905,12,17901,179.007905535399
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,AUTOINDEX,47,188,390,680,76,2,9,192,1042,False,True,816,6721952684,7571,70,0.0,0,0.3600899999999999,0.0035344899166375,316227,35344899,4,3535,35.344899166375
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,AUTOINDEX,53,150,587,4213,36,2,1,619,6807,False,True,82051,6635289374,7143,27,0.0,0,0.38456,0.0036080042365938,316227,36080042,4,3609,36.080042365938
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_PQ,8,159,321,6830,67,32,8,376,2167,False,True,12958,1023381733,5252,85,0.0,0,0.10393,0.0073906301055103,2894179,73906301,29,7391,73.906301055103
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_SQ8,30,90,571,3660,30,64,6,775,8084,True,True,65290,886190699,7611,44,0.0,0,0.98145,0.0176114816684275,694436,176114816,7,17612,176.11481668427498
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_SQ8,45,376,689,4431,84,32,7,434,8072,False,False,91199,2660974710,5887,94,0.0,0,0.98177,0.0180907708592712,2354024,180907708,24,18091,180.907708592712
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,AUTOINDEX,38,73,134,3133,31,4,2,686,3024,False,True,26969,4025060689,8205,39,0.0,0,0.3594,0.003653632197529,316227,36536321,4,3654,36.53632197529
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_FLAT,46,100,817,4135,20,16,2,341,9510,False,True,69082,9625092968,3249,85,0.0,0,0.99197,0.0558946122881025,523040,558946122,6,55895,558.9461228810251
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,FLAT,31,43,910,2946,60,64,3,471,1104,False,True,11660,2473406526,7290,94,0.0,0,0.9998400000000002,0.0708552836440503,316227,708552836,4,70856,708.552836440503
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,AUTOINDEX,45,451,140,8795,34,128,8,803,7149,True,True,33941,3950640169,237,90,0.0,0,0.37378,0.0036932589951902,316227,36932589,4,3694,36.932589951902
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,HNSW,33,350,278,222,60,4,4,881,628,False,True,64361,2857376109,6447,15,0.0,0,0.96639,0.0336436884012073,3652430,336436884,37,33644,336.436884012073
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_FLAT,29,196,586,2245,92,16,4,388,1229,False,False,18580,9577703482,118,69,0.0,0,0.9998400000000002,0.0623969381209462,1306273,623969381,14,62397,623.9693812094621
